site_id,capture_date,survey_year,period_id,pit_tag_id,swab_id,bd_load
70550,2013-08-09,2013,8.5.2,118001057579,USGS1068,638.84
70550,2013-08-09,2013,8.5.2,118001058657,USGS1076,0
70550,2013-08-09,2013,8.5.2,118001058870,USGS1072,31662.58
70550,2013-08-09,2013,8.5.2,118001058971,USGS1078,0
70550,2013-08-09,2013,8.5.2,118001059340,USGS1094,0
70550,2013-08-09,2013,8.5.2,121013711006,USGS1158,480.41
70550,2013-08-14,2013,8.6.1,118001027920,USGS1120,0
70550,2013-08-14,2013,8.6.1,118001027927,USGS1101,1023.56
70550,2013-08-14,2013,8.6.1,118001028223,USGS1176,116.74
70550,2013-08-14,2013,8.6.1,118001028501,USGS1104,133.99
70550,2013-08-14,2013,8.6.1,118001029375,USGS1111,495.02
70550,2013-08-14,2013,8.6.1,118001030163,USGS1098,983.15
70550,2013-08-14,2013,8.6.1,118001030522,USGS1099,0
70550,2013-08-14,2013,8.6.1,118001031343,USGS1105,38.96
70550,2013-08-14,2013,8.6.1,118001031348,USGS1177,36762.1
70550,2013-08-14,2013,8.6.1,118001031467,USGS1132,306.21
70550,2013-08-14,2013,8.6.1,118001057432,USGS1108,0
70550,2013-08-14,2013,8.6.1,118001057579,USGS1155,15950.35
70550,2013-08-14,2013,8.6.1,118001058657,USGS1109,14263.78
70550,2013-08-14,2013,8.6.1,118001058945,USGS1097,0
70550,2013-08-14,2013,8.6.1,118001058971,USGS1095,461.4
70550,2013-08-14,2013,8.6.1,118001058990,USGS1112,32391.41
70550,2013-08-14,2013,8.6.1,118001065754,USGS1165,3133.98
70550,2013-08-14,2013,8.6.1,121013711006,USGS1106,88.6
70550,2013-08-14,2013,8.6.1,121019062559,USGS1100,90.48
70550,2013-08-14,2013,8.6.1,121019077514,USGS1169,0
70550,2013-08-18,2013,8.7.1,118001027764,USGS1629,1530
70550,2013-08-18,2013,8.7.1,118001028883,USGS1580,133.02
70550,2013-08-18,2013,8.7.1,118001029375,USGS1585,0
70550,2013-08-18,2013,8.7.1,118001029455,USGS1584,13543.58
70550,2013-08-18,2013,8.7.1,118001029486,USGS1597,0
70550,2013-08-18,2013,8.7.1,118001030574,USGS1633,4.27
70550,2013-08-18,2013,8.7.1,118001031211,USGS1600,0
70550,2013-08-18,2013,8.7.1,118001057432,USGS1628,0
70550,2013-08-18,2013,8.7.1,118001057549,USGS1591,104.68
70550,2013-08-18,2013,8.7.1,118001058131,USGS1617,1021.28
70550,2013-08-18,2013,8.7.1,118001058945,USGS1624,79.53
70550,2013-08-18,2013,8.7.1,118001058971,USGS1604,0
