time,date,temp_c
1300,2012-05-24,8.88888888888889
1400,2012-05-24,8.88888888888889
1500,2012-05-24,8.88888888888889
1e3,2012-05-25,-3.3333333333333335
1100,2012-05-25,-3.888888888888889
1200,2012-05-25,-5
1300,2012-05-25,-5
1400,2012-05-25,-5
1500,2012-05-25,-5.555555555555555
1e3,2012-05-26,-5
1100,2012-05-26,-3.888888888888889
1200,2012-05-26,-2.7777777777777777
1300,2012-05-26,-1.6666666666666667
1400,2012-05-26,-2.7777777777777777
1500,2012-05-26,-1.6666666666666667
1e3,2012-05-27,1.6666666666666667
1100,2012-05-27,2.7777777777777777
1200,2012-05-27,4.444444444444445
1300,2012-05-27,6.111111111111111
1400,2012-05-27,6.666666666666667
1500,2012-05-27,6.666666666666667
1e3,2012-05-28,7.777777777777778
1100,2012-05-28,8.88888888888889
1200,2012-05-28,10
1300,2012-05-28,10.555555555555555
1400,2012-05-28,10.555555555555555
1500,2012-05-28,10
1e3,2012-05-29,9.444444444444445
1100,2012-05-29,11.11111111111111
1200,2012-05-29,12.777777777777779
1300,2012-05-29,12.777777777777779
1400,2012-05-29,12.777777777777779
1500,2012-05-29,12.777777777777779
1e3,2012-05-30,11.11111111111111
1100,2012-05-30,12.777777777777779
1200,2012-05-30,13.88888888888889
1300,2012-05-30,14.444444444444445
1400,2012-05-30,15
1500,2012-05-30,16.666666666666668
1e3,2012-05-31,14.444444444444445
1100,2012-05-31,15
1200,2012-05-31,16.11111111111111
1300,2012-05-31,16.666666666666668
1400,2012-05-31,17.77777777777778
1500,2012-05-31,20
1e3,2012-06-01,16.11111111111111
1100,2012-06-01,17.77777777777778
1200,2012-06-01,18.88888888888889
1300,2012-06-01,19.444444444444443
1400,2012-06-01,20
1500,2012-06-01,17.77777777777778
1e3,2012-06-02,12.777777777777779
1100,2012-06-02,15
1200,2012-06-02,15.555555555555555
1300,2012-06-02,15.555555555555555
1400,2012-06-02,16.666666666666668
1500,2012-06-02,16.666666666666668
1e3,2012-06-03,16.11111111111111
1100,2012-06-03,17.22222222222222
1200,2012-06-03,17.77777777777778
1300,2012-06-03,17.77777777777778
1400,2012-06-03,18.333333333333332
1500,2012-06-03,18.333333333333332
1e3,2012-06-04,11.666666666666666
1100,2012-06-04,11.11111111111111
1200,2012-06-04,11.11111111111111
1300,2012-06-04,11.11111111111111
1400,2012-06-04,8.88888888888889
1500,2012-06-04,6.111111111111111
1e3,2012-06-05,-3.3333333333333335
1100,2012-06-05,-2.7777777777777777
1200,2012-06-05,-1.1111111111111112
1300,2012-06-05,0
1400,2012-06-05,2.2222222222222223
1500,2012-06-05,3.3333333333333335
1e3,2012-06-06,1.6666666666666667
1100,2012-06-06,3.3333333333333335
1200,2012-06-06,5.555555555555555
1300,2012-06-06,6.666666666666667
1400,2012-06-06,8.333333333333334
1500,2012-06-06,10.555555555555555
1e3,2012-06-07,10.555555555555555
1100,2012-06-07,11.11111111111111
1200,2012-06-07,12.777777777777779
1300,2012-06-07,13.333333333333334
1400,2012-06-07,12.777777777777779
1500,2012-06-07,13.333333333333334
1e3,2012-06-08,10.555555555555555
1100,2012-06-08,11.11111111111111
1200,2012-06-08,11.666666666666666
1300,2012-06-08,11.666666666666666
1400,2012-06-08,11.11111111111111
1500,2012-06-08,12.222222222222221
1e3,2012-06-09,9.444444444444445
1100,2012-06-09,11.666666666666666
1200,2012-06-09,11.11111111111111
1300,2012-06-09,11.666666666666666
1400,2012-06-09,12.777777777777779
1500,2012-06-09,13.88888888888889
1e3,2012-06-10,NA
1100,2012-06-10,NA
1200,2012-06-10,7.222222222222222
1300,2012-06-10,8.333333333333334
1400,2012-06-10,10.555555555555555
1500,2012-06-10,11.11111111111111
1e3,2012-06-11,13.333333333333334
1100,2012-06-11,15
1200,2012-06-11,14.444444444444445
1300,2012-06-11,15
1400,2012-06-11,15.555555555555555
1500,2012-06-11,16.11111111111111
1e3,2012-06-12,15
1100,2012-06-12,15.555555555555555
1200,2012-06-12,16.11111111111111
1300,2012-06-12,16.666666666666668
1400,2012-06-12,16.666666666666668
1500,2012-06-12,16.666666666666668
1e3,2012-06-13,12.222222222222221
1100,2012-06-13,13.333333333333334
1200,2012-06-13,14.444444444444445
1300,2012-06-13,16.11111111111111
1400,2012-06-13,17.22222222222222
1500,2012-06-13,18.333333333333332
1e3,2012-06-14,14.444444444444445
1100,2012-06-14,15.555555555555555
1200,2012-06-14,15.555555555555555
1300,2012-06-14,16.666666666666668
1400,2012-06-14,16.666666666666668
1500,2012-06-14,17.77777777777778
1e3,2012-06-15,13.333333333333334
1100,2012-06-15,13.333333333333334
1200,2012-06-15,14.444444444444445
1300,2012-06-15,15.555555555555555
1400,2012-06-15,16.666666666666668
1500,2012-06-15,16.11111111111111
1e3,2012-06-16,15.555555555555555
1100,2012-06-16,15.555555555555555
1200,2012-06-16,16.666666666666668
1300,2012-06-16,17.77777777777778
1400,2012-06-16,19.444444444444443
1500,2012-06-16,21.11111111111111
1e3,2012-06-17,19.444444444444443
1100,2012-06-17,20
1200,2012-06-17,19.444444444444443
1300,2012-06-17,20.555555555555557
1400,2012-06-17,20
1500,2012-06-17,18.88888888888889
1e3,2012-06-18,13.88888888888889
1100,2012-06-18,13.333333333333334
1200,2012-06-18,15
1300,2012-06-18,15
1400,2012-06-18,15
1500,2012-06-18,15.555555555555555
1e3,2012-06-19,12.222222222222221
1100,2012-06-19,13.333333333333334
1200,2012-06-19,14.444444444444445
1300,2012-06-19,15
1400,2012-06-19,15.555555555555555
1500,2012-06-19,16.11111111111111
1e3,2012-06-20,17.22222222222222
1100,2012-06-20,17.22222222222222
1200,2012-06-20,17.77777777777778
1300,2012-06-20,19.444444444444443
1400,2012-06-20,22.22222222222222
1500,2012-06-20,22.22222222222222
1e3,2012-06-21,17.22222222222222
1100,2012-06-21,18.333333333333332
1200,2012-06-21,17.77777777777778
1300,2012-06-21,17.77777777777778
1400,2012-06-21,17.22222222222222
1500,2012-06-21,17.22222222222222
1e3,2012-06-22,11.11111111111111
1100,2012-06-22,12.222222222222221
1200,2012-06-22,12.777777777777779
1300,2012-06-22,13.333333333333334
1400,2012-06-22,12.777777777777779
1500,2012-06-22,12.777777777777779
1e3,2012-06-23,7.777777777777778
1100,2012-06-23,8.88888888888889
1200,2012-06-23,9.444444444444445
1300,2012-06-23,10
1400,2012-06-23,11.11111111111111
1500,2012-06-23,11.11111111111111
1e3,2012-06-24,12.777777777777779
1100,2012-06-24,13.333333333333334
1200,2012-06-24,13.333333333333334
1300,2012-06-24,14.444444444444445
1400,2012-06-24,13.333333333333334
1500,2012-06-24,13.88888888888889
1e3,2012-06-25,10
1100,2012-06-25,10.555555555555555
1200,2012-06-25,11.11111111111111
1300,2012-06-25,12.222222222222221
1400,2012-06-25,12.777777777777779
1500,2012-06-25,12.777777777777779
1e3,2012-06-26,11.666666666666666
1100,2012-06-26,13.333333333333334
1200,2012-06-26,13.88888888888889
1300,2012-06-26,15
1400,2012-06-26,15.555555555555555
1500,2012-06-26,16.666666666666668
1e3,2012-06-27,11.666666666666666
1100,2012-06-27,13.88888888888889
1200,2012-06-27,15.555555555555555
1300,2012-06-27,18.333333333333332
1400,2012-06-27,18.333333333333332
1500,2012-06-27,17.22222222222222
1e3,2012-06-28,14.444444444444445
1100,2012-06-28,16.11111111111111
1200,2012-06-28,16.666666666666668
1300,2012-06-28,18.333333333333332
1400,2012-06-28,18.333333333333332
1500,2012-06-28,17.22222222222222
1e3,2012-06-29,13.88888888888889
1100,2012-06-29,15.555555555555555
1200,2012-06-29,16.666666666666668
1300,2012-06-29,17.77777777777778
1400,2012-06-29,18.333333333333332
1500,2012-06-29,17.77777777777778
1e3,2012-06-30,16.666666666666668
1100,2012-06-30,16.666666666666668
1200,2012-06-30,18.333333333333332
1300,2012-06-30,18.333333333333332
1400,2012-06-30,17.77777777777778
1500,2012-06-30,17.77777777777778
1e3,2012-07-01,15
1100,2012-07-01,15.555555555555555
1200,2012-07-01,15.555555555555555
1300,2012-07-01,17.22222222222222
1400,2012-07-01,17.77777777777778
1500,2012-07-01,15.555555555555555
1e3,2012-07-02,14.444444444444445
1100,2012-07-02,15.555555555555555
1200,2012-07-02,16.666666666666668
1300,2012-07-02,18.333333333333332
1400,2012-07-02,20.555555555555557
1500,2012-07-02,19.444444444444443
1e3,2012-07-03,16.666666666666668
1100,2012-07-03,16.666666666666668
1200,2012-07-03,19.444444444444443
1300,2012-07-03,19.444444444444443
1400,2012-07-03,20
1500,2012-07-03,19.444444444444443
1e3,2012-07-04,17.77777777777778
1100,2012-07-04,17.77777777777778
1200,2012-07-04,17.77777777777778
1300,2012-07-04,17.77777777777778
1400,2012-07-04,17.22222222222222
1500,2012-07-04,16.11111111111111
1e3,2012-07-05,14.444444444444445
1100,2012-07-05,15.555555555555555
1200,2012-07-05,16.11111111111111
1300,2012-07-05,17.22222222222222
1400,2012-07-05,16.666666666666668
1500,2012-07-05,17.22222222222222
1e3,2012-07-06,15
1100,2012-07-06,16.666666666666668
1200,2012-07-06,16.666666666666668
1300,2012-07-06,17.77777777777778
1400,2012-07-06,18.88888888888889
1500,2012-07-06,18.88888888888889
1e3,2012-07-07,15.555555555555555
1100,2012-07-07,17.22222222222222
1200,2012-07-07,18.333333333333332
1300,2012-07-07,18.88888888888889
1400,2012-07-07,20.555555555555557
1500,2012-07-07,20.555555555555557
1e3,2012-07-08,18.88888888888889
1100,2012-07-08,18.88888888888889
1200,2012-07-08,20
1300,2012-07-08,20.555555555555557
1400,2012-07-08,21.666666666666668
1500,2012-07-08,21.11111111111111
1e3,2012-07-09,19.444444444444443
1100,2012-07-09,19.444444444444443
1200,2012-07-09,20.555555555555557
1300,2012-07-09,20.555555555555557
1400,2012-07-09,21.11111111111111
1500,2012-07-09,21.666666666666668
1e3,2012-07-10,19.444444444444443
1100,2012-07-10,20.555555555555557
1200,2012-07-10,21.11111111111111
1300,2012-07-10,22.22222222222222
1400,2012-07-10,22.77777777777778
1500,2012-07-10,22.22222222222222
1e3,2012-07-11,22.22222222222222
1100,2012-07-11,22.22222222222222
1200,2012-07-11,22.77777777777778
1300,2012-07-11,23.333333333333332
1400,2012-07-11,22.77777777777778
1500,2012-07-11,22.77777777777778
1e3,2012-07-12,21.666666666666668
1100,2012-07-12,22.22222222222222
1200,2012-07-12,21.666666666666668
1300,2012-07-12,22.77777777777778
1400,2012-07-12,21.666666666666668
1500,2012-07-12,21.11111111111111
1e3,2012-07-13,18.333333333333332
